train_number_clean,train_name,from_station_code,from_station_name,to_station_code,to_station_name,distance_km,duration_hours,duration_minutes
12403,Allahabad Mathura SF Express,ALD,ALLAHABAD JN,MTJ,MATHURA JN,507.0,8.0,50.0
12407,NEW JALPAIGURI - AMRITSAR Karmabhoomi Exp,NJP,NEW JALPAIGURI,ASR,AMRITSAR JN,1823.0,33.0,10.0
12495,BIKANER - KOLKATA CHITPUR Pratap Exp,BKN,BIKANER JN,KOAA,KOLKATA CHITPUR,1873.0,31.0,45.0
12513,SECUNDERABAD - GUWAHATI Exp,SC,SECUNDERABAD JN,GHY,GUWAHATI,2551.0,46.0,20.0
12591,GORAKHPUR - YESVANTPUR SF Exp,GKP,GORAKHPUR JN,YPR,YESVANTPUR JN,2547.0,46.0,5.0
12624,Tiruvananthapuram Chennai SF Mail,TVC,TRIVANDRUM CENTRAL,MAS,CHENNAI CENTRAL,909.0,16.0,25.0
12661,CHENNAI EGMORE - SENGOTTAI Pothigai SF Exp,MS,CHENNAI EGMORE,SCT,SENGOTTAI,670.0,12.0,10.0
12709,Simhapuri SF Express,GDR,GUDUR JN,SC,SECUNDERABAD JN,644.0,10.0,45.0
12735,SECUNDERABAD - YESVANTPUR Garib Rath Exp,SC,SECUNDERABAD JN,YPR,YESVANTPUR JN,,,
12736,YESVANTPUR - SECUNDERABAD Garib Rath Exp,YPR,YESVANTPUR JN,SC,SECUNDERABAD JN,,,
12835,HATIA - YESVANTPUR SF Exp,HTE,HATIA,YPR,YESVANTPUR JN,1904.0,34.0,40.0
12836,YESVANTPUR - HATIA SF Exp,YPR,YESVANTPUR JN,HTE,HATIA,1904.0,34.0,45.0
12840,Chennai-Howrah SF Mail,MAS,CHENNAI CENTRAL,HWH,HOWRAH JN,1662.0,28.0,30.0
12889,TATANAGAR - YESVANTPUR SF Exp,TATA,TATANAGAR JN,YPR,YESVANTPUR JN,,,
12890,YESVANTPUR - TATANAGAR SF Exp,YPR,YESVANTPUR JN,TATA,TATANAGAR JN,,,
12993,GANDHIDHAM - PURI SF Exp,GIMB,GANDHIDHAM BG,PURI,PURI,2283.0,41.0,30.0
12994,PURI - GANDHIDHAM SF Exp,PURI,PURI,GIMB,GANDHIDHAM BG,2283.0,41.0,30.0
51158,Itarsi Bhusaval Passenger,ET,ITARSI JN,BSL,BHUSAVAL JN,322.0,13.0,15.0
51671,ITARSI - KATNI Fast Passenger,ET,ITARSI JN,KTE,KATNI,335.0,6.0,5.0
51827,Itarsi Jhansi Passenger,ET,ITARSI JN,JHS,JHANSI JN,383.0,14.0,40.0
12689,CHENNAI CENTRAL - NAGERCOIL SF Exp,MAS,CHENNAI CENTRAL,NCJ,NAGERCOIL JN,927.0,16.0,50.0
51285,Bhusaval Nagpur Passenger,BSL,BHUSAVAL JN,NGP,NAGPUR,392.0,13.0,15.0
12221,PUNE - HOWRAH AC Duronto Exp,PUNE,PUNE JN,HWH,HOWRAH JN,2020.0,28.0,25.0
12488,Seemanchal Express,ANVT,ANAND VIHAR TRM,JBN,JOGBANI,1383.0,24.0,25.0
12786,Bangalore-Kacheguda SF Express,SBC,BANGALORE CITY JN,KCG,KACHEGUDA,625.0,11.0,20.0
12797,Venkatadri SF Express,KCG,KACHEGUDA,CTO,CHITTOOR,707.0,12.0,50.0
12798,Venkatadri SF Express,CTO,CHITTOOR,KCG,KACHEGUDA,707.0,12.0,50.0
51347,Pune - Daund - Baramati Passenger,PUNE,PUNE JN,BRMT,Baramati,120.0,3.0,15.0
12240,Jaipur-Mumbai Central AC Duronto Express,JP,JAIPUR,BCT,Mumbai Central,1159.0,16.0,50.0
12335,BHAGALPUR - MUMBAI LTT SF Exp,BGP,BHAGALPUR,LTT,LOKMANYA TILAK TERM,1917.0,35.0,0.0
12349,Bhagalpur-NewDelhi Weekly SF Express,BGP,BHAGALPUR,NDLS,NEW DELHI,1220.0,19.0,30.0
12409,Gondwana Express,RIG,RAIGARH,NZM,DELHI H NIZAMUDDIN,1626.0,27.0,55.0
12980,Jaipur - Mumbai Bandra (T.) (Triweekly) SF Express,JP,JAIPUR,BDTS,MUMBAI BANDRA TERMINUS,1148.0,17.0,50.0
22406,AnandVihar Terminal-Bhagalpur Garib Rath,ANVT,ANAND VIHAR TRM,BGP,BHAGALPUR,1207.0,18.0,30.0
11701,JABALPUR - INDORE Intercity Exp,JBP,JABALPUR,INDB,INDORE JN BG,761.0,15.0,40.0
11265,JABALPUR - AMBIKAPUR Exp,JBP,JABALPUR,ABKP,AMBIKAPUR,433.0,8.0,55.0
12121,JABALPUR - DELHI H NIZAMUDDIN S Kranti Exp,JBP,JABALPUR,NZM,DELHI H NIZAMUDDIN,909.0,13.0,55.0
12142,PATLIPUTRA - MUMBAI LTT SF Exp,PPTA,PATLIPUTRA,LTT,LOKMANYA TILAK TERM,1714.0,28.0,50.0
12394,Sampoorna Kranti Express,NDLS,NEW DELHI,RJPB,RAJENDRA NAGAR BIHAR,1001.0,14.0,5.0
12555,Gorakhdham Express,GKP,GORAKHPUR JN,HSR,Hisar,962.0,17.0,25.0
12257,Yesvantapur Kochuveli Garib Rath Express,YPR,YESVANTPUR JN,KCVL,KOCHUVELI,808.0,15.0,40.0
12182,AJMER - JABALPUR Dayodaya Express,AII,AJMER JN,JBP,JABALPUR,894.0,15.0,40.0
12346,GUWAHATI - HOWRAH Saraighat SF Exp,GHY,GUWAHATI,HWH,HOWRAH JN,1020.0,16.0,25.0
12283,ERNAKULAM - DELHI H NIZAMUDDIN Duronto Exp,ERS,ERNAKULAM JN,NZM,DELHI H NIZAMUDDIN,2943.0,44.0,0.0
12146,PURI - MUMBAI LTT SF Exp,PURI,PURI,LTT,LOKMANYA TILAK TERM,1818.0,32.0,25.0
12471,Mumbai Bandra (T.) - Jammu Tawi SF Swaraj Express,BDTS,MUMBAI BANDRA TERMINUS,JAT,JAMMU TAWI,1950.0,30.0,50.0
12317,KOLKATA SEALDAH - AMRITSAR Akal Takht Exp,SDAH,KOLKATA SEALDAH,ASR,AMRITSAR JN,1898.0,33.0,10.0
12619,MUMBAI LTT - MANGALORE CENT Matsyagandha Exp,LTT,LOKMANYA TILAK TERM,MAQ,MANGALORE CNTL,1185.0,16.0,10.0
12193,Bhopal Partapgarh Express,BPL,BHOPAL JN,PBH,PARTAPGARH JN,756.0,13.0,40.0
12258,Kochuveli-Yesvantpur Garib Rath,KCVL,KOCHUVELI,YPR,YESVANTPUR JN,808.0,16.0,30.0
12165,MUMBAI LTT - VARANASI Ratnagiri Exp,LTT,LOKMANYA TILAK TERM,BSB,VARANASI JN,1483.0,25.0,45.0
12615,Grand Trunk (GT) Express,MAS,CHENNAI CENTRAL,NDLS,NEW DELHI,2184.0,35.0,5.0
12286,Hazrat Nizamuddin-Secunderabad Duronto Express,NZM,DELHI H NIZAMUDDIN,SC,SECUNDERABAD JN,1660.0,22.0,10.0
12395,RajendraNagar-Ajmer Ibadat Express,RJPB,RAJENDRA NAGAR BIHAR,AII,AJMER JN,1305.0,20.0,35.0
12463,Rajasthan Sampark Kranti Express,DEE,DELHI SARAI ROHILLA,JU,JODHPUR JN,616.0,9.0,50.0
12227,Mumbai Central- Indore Duronto Express,BCT,Mumbai Central,INDB,INDORE JN BG,829.0,12.0,0.0
12181,JABALPUR - AJMER Dayodaya Exp,JBP,JABALPUR,AII,AJMER JN,896.0,15.0,15.0
12350,NewDelhi-Bhagalpur Weekly SF Express,NDLS,NEW DELHI,BGP,BHAGALPUR,1220.0,20.0,15.0
12263,Pune - Hazrat Nizamuddin AC Duronto Express,PUNE,PUNE JN,NZM,DELHI H NIZAMUDDIN,1520.0,20.0,5.0
12546,MUMBAI LTT - RAXAUL Karmabhoomi Exp,LTT,LOKMANYA TILAK TERM,RXL,RAXAUL JN,1882.0,33.0,50.0
12336,MUMBAI LTT - BHAGALPUR SF Exp,LTT,LOKMANYA TILAK TERM,BGP,BHAGALPUR,1917.0,34.0,25.0
12467,Bikaner Jaipur InterCity,BKN,BIKANER JN,JP,JAIPUR,382.0,6.0,40.0
12315,Ananya Express,SDAH,KOLKATA SEALDAH,UDZ,UDAIPUR CITY,2141.0,37.0,50.0
12580,Puri Digha Samudra Kanya Super Fast Express,PURI,PURI,DGHA,Digha Flag Station,549.0,9.0,55.0
12633,CHENNAI EGMORE - KANNIYAKUMARI SF Exp,MS,CHENNAI EGMORE,CAPE,KANYAKUMARI,742.0,13.0,20.0
12542,Mumbai LTT-Gorakhpur SF Express,LTT,LOKMANYA TILAK TERM,GKP,GORAKHPUR JN,1680.0,30.0,35.0
12653,Tiruchirappalli Mangalore Weekly Superfast Express,TPJ,TIRUCHIRAPPALLI,MAQ,MANGALORE CNTL,635.0,11.0,25.0
12636,MADURAI - CHENNAI EGMORE Vaigai SF Exp,MDU,MADURAI JN,MS,CHENNAI EGMORE,497.0,7.0,50.0
12561,Swatantrata Sainani Express,DBG,DARBHANGA JN,NDLS,NEW DELHI,1166.0,21.0,0.0
12641,KANYAKUMARI - D H NIZAMUDDIN Thirukkural Exp,CAPE,KANYAKUMARI,NZM,DELHI H NIZAMUDDIN,2922.0,46.0,45.0
12739,Visakhapatnam Secunderabad Garib Rath Express,VSKP,VISHAKAPATNAM,SC,SECUNDERABAD JN,701.0,11.0,40.0
12652,DELHI H NIZAMUDDIN - MADURAI Tamil Nadu S Kranti,NZM,DELHI H NIZAMUDDIN,MDU,MADURAI JN,2677.0,44.0,20.0
12782,Nizamuddin-Mysore Swarna Jayanti Express,NZM,DELHI H NIZAMUDDIN,MYS,MYSORE JN,2617.0,47.0,5.0
12684,BANGALORE - ERNAKULAM SF Exp,SBC,BANGALORE CITY JN,ERS,ERNAKULAM JN,625.0,11.0,5.0
12803,Visakhapatnam-Nizamuddin SwarnaJayanthi Express,VSKP,VISHAKAPATNAM,NZM,DELHI H NIZAMUDDIN,2097.0,32.0,35.0
12810,HOWRAH - MUMBAI CST SF Mail (via NAGPUR),HWH,HOWRAH JN,CSTM,MUMBAI CST,1968.0,33.0,10.0
12826,Jharkhand Sampark Kranti Express,NDLS,NEW DELHI,RNC,RANCHI,1309.0,21.0,45.0
12846,BENGALURU CANTT - BHUBANESWAR SF Exp,BNC,BANGALORE CANT,BBS,BHUBANESWAR,1524.0,27.0,15.0
12847,Howrah-Digha AC Duronto Express,HWH,HOWRAH JN,DGHA,Digha Flag Station,189.0,3.0,0.0
12848,Digha-Howrah AC Duronto Express,DGHA,Digha Flag Station,HWH,HOWRAH JN,189.0,3.0,0.0
12849,Bilaspur Pune SF Express,BSP,BILASPUR JN,PUNE,PUNE JN,1301.0,22.0,10.0
12850,Pune Bilaspur Superfast Express,PUNE,PUNE JN,BSP,BILASPUR JN,1301.0,23.0,10.0
12851,Bilaspur-Chennai Express,BSP,BILASPUR JN,MAS,CHENNAI CENTRAL,1413.0,24.0,0.0
12852,Chennai-Bilaspur Express,MAS,CHENNAI CENTRAL,BSP,BILASPUR JN,1413.0,23.0,5.0
12853,DURG - BHOPAL Amarkantak SF Exp,DURG,DURG,BPL,BHOPAL JN,894.0,16.0,10.0
12854,BHOPAL - DURG Amarkantak SF Exp,BPL,BHOPAL JN,DURG,DURG,894.0,16.0,10.0
12855,Bilaspur-Nagpur InterCity,BSP,BILASPUR JN,NGP,NAGPUR,411.0,6.0,45.0
